Epoch,Train Loss,Train Acc,Val Acc,Val Loss
1.0,2.138892961502075,23.465,31.03,1.8203401816119054
2.0,1.7679051523208618,32.56,31.22,1.7970478785265782
3.0,1.6374510858535767,38.595,41.84,1.612501330436415
4.0,1.4482902793884278,46.5175,47.07,1.4293964592514523
5.0,1.2732112873077392,53.6175,47.84,1.4915069068313405
6.0,1.1500725229263307,58.5875,58.49,1.1680044360980866
7.0,1.033946369934082,62.885,65.19,0.9653258080695085
8.0,0.9455826292991638,66.3,64.26,1.0283134799854012
9.0,0.8571951810836792,69.8625,63.74,1.0911471312213097
10.0,0.7880156484603882,72.815,72.74,0.8121641365585813
11.0,0.7206143270492553,75.4925,75.68,0.7381828385553543
12.0,0.6700481967449188,77.4775,74.67,0.7544143866201874
13.0,0.6273504261493683,78.915,76.62,0.7573981594507861
14.0,0.5910303399085999,80.2925,73.69,0.7876191492293291
15.0,0.5514232367277145,81.515,78.2,0.6857126649397953
16.0,0.5145488071203231,82.915,76.76,0.6854371853694794
17.0,0.4885044788122177,83.7625,80.57,0.6003955729827759
18.0,0.4663785990715027,84.46,81.7,0.5831221901117616
19.0,0.44503900113105777,85.2775,83.97,0.5015279554827198
20.0,0.41677988002300265,86.35,83.54,0.5140834917688066
21.0,0.4045884693384171,86.635,84.28,0.4947401713223974
22.0,0.37677189202308653,87.525,84.9,0.48018404148566496
23.0,0.3600352810502052,88.1775,84.63,0.5067146376819368
24.0,0.34956632808446886,88.4925,85.42,0.45862922869670164
25.0,0.333506249499321,88.985,85.11,0.47602464866106675
26.0,0.32389542256593706,89.24,86.07,0.44623352800774724
27.0,0.305452600646019,89.9225,86.63,0.42376048274480616
28.0,0.29612614000439647,90.2275,85.84,0.45857879154051945
29.0,0.279593927103281,90.8225,85.42,0.4831713241566518
30.0,0.26976289284229277,91.185,86.43,0.4349087927561657
31.0,0.26835538368821144,91.1075,84.55,0.5509729730855127
32.0,0.25751506574749944,91.5225,86.95,0.426208980903504
33.0,0.24027731342315675,92.12,85.79,0.5130981234892918
34.0,0.2329378854930401,92.275,86.68,0.45954743986296803
35.0,0.22721254000663757,92.56,87.65,0.40579225270041996
36.0,0.22121994135975837,92.6475,87.81,0.4332213409387382
37.0,0.20946465073227882,93.155,86.9,0.46686717099065234
38.0,0.2034869233250618,93.2275,87.78,0.40905905638340934
39.0,0.20069691981971263,93.35,88.37,0.405581509706321
40.0,0.18851987052857877,93.7525,87.84,0.4210468083145512
41.0,0.18402286114990712,93.9675,88.12,0.41196246091632327
42.0,0.1810577770501375,94.1775,87.91,0.41832620138005844
43.0,0.17364953317046167,94.305,88.15,0.4286043979939382
44.0,0.1726151599496603,94.33,87.38,0.4701799040150111
45.0,0.16196410321965812,94.8025,87.84,0.4403228572789271
46.0,0.1597930543512106,94.795,88.38,0.4292197556822163
47.0,0.15823084564059972,94.795,86.67,0.5009799637612263
48.0,0.14685920436531305,95.075,88.21,0.4520396813275708
49.0,0.14958322423398496,95.1875,88.35,0.4199178252535261
